Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
227,-1.419847,-8.679389,4.977099,-0.244874,-0.927738,-0.008545
228,-0.916030,-9.061068,3.152672,-0.242188,-0.940433,-0.005859
229,-0.671756,-9.893129,2.854962,-0.242188,-0.933353,0.000000
230,-0.366412,-11.038168,2.702290,-0.246583,-0.934574,-0.003174
231,1.572519,-10.770992,-2.954198,-0.304689,-0.951908,-0.007324
232,2.541985,-10.244275,-3.358779,-0.308107,-0.945072,-0.014160
233,3.053435,-9.526717,-4.183206,-0.317384,-0.941410,-0.005859
234,4.045801,-8.320611,-5.511450,-0.328370,-0.953617,0.003662
235,4.770992,-7.221374,-6.870229,-0.337404,-0.968509,0.002930
236,4.587786,-2.610687,-5.664122,-0.298829,-0.962894,0.012451
237,3.679389,-2.061069,-2.832061,-0.302980,-0.960453,0.008545
238,2.549618,-1.664122,-0.389313,-0.297609,-0.963871,0.015381
239,2.129771,-0.862595,1.068702,-0.297120,-0.961673,0.015625
240,1.427481,-0.251908,1.786260,-0.314454,-0.963383,0.008301
241,1.175572,-0.274809,0.801527,-0.305665,-0.959965,-0.004883
242,-0.877863,0.694656,-0.030534,-0.303956,-0.930179,-0.000977
243,-0.793893,1.282443,-1.312977,-0.326906,-0.926761,-0.003662
244,-0.885496,2.175573,-5.389312,-0.328370,-0.917728,-0.002686
245,1.396947,2.877863,-4.358778,-0.326173,-0.959965,-0.014648
246,1.244275,3.091603,-5.091603,-0.325685,-0.940189,-0.013184
247,1.167939,4.267176,-6.007634,-0.310792,-0.936771,-0.000732
248,2.129771,5.488550,-2.778626,-0.281983,-0.948490,0.010498
249,1.916030,5.106870,-0.839695,-0.266847,-0.964847,0.002686
250,1.488550,4.893130,0.396947,-0.263673,-0.975345,-0.002930
251,0.923664,4.549618,1.297710,-0.262940,-0.979496,0.006836
252,0.358779,3.946565,1.839695,-0.267579,-0.988773,-0.000244
253,-0.091603,3.541985,2.152672,-0.264405,-0.975834,0.010498
254,-1.656489,1.030534,2.679389,-0.259278,-0.950931,0.011719
255,-1.770992,0.755725,1.954198,-0.267579,-0.944339,0.012207
256,-1.603053,0.000000,1.022901,-0.285890,-0.951420,0.005127
257,-1.335878,-0.129771,-0.717557,-0.302003,-0.957279,0.003662
258,-0.778626,-0.389313,-3.183206,-0.305421,-0.956791,-0.002930
259,-0.190840,-0.175573,-5.938931,-0.304200,-0.947025,-0.003418
260,2.496183,2.847328,-12.244275,-0.314943,-0.922855,-0.017822
261,3.618321,3.335878,-13.671756,-0.303224,-0.925296,-0.013184
262,4.122137,3.473282,-15.549619,-0.302003,-0.927738,-0.017090
263,4.580152,3.908397,-17.290077,-0.287843,-0.934085,-0.006348
264,4.908397,4.076336,-18.015266,-0.275880,-0.942386,-0.013916
265,5.519084,2.312977,-19.717557,-0.265138,-0.998539,-0.005859
266,3.572519,2.648855,-20.839694,-0.247315,-0.984379,0.006836
267,2.068702,3.091603,-18.763359,-0.238526,-0.971927,-0.004883
268,0.389313,3.045802,-14.282443,-0.237306,-0.964359,0.009033
269,-0.893130,3.335878,-8.297709,-0.232179,-0.945804,0.020020
270,-1.809160,4.091603,-2.587786,-0.224122,-0.951175,0.010986
271,-5.129771,4.893130,2.312977,-0.257813,-0.953861,0.016602
272,-6.145038,6.229008,2.633588,-0.241700,-0.959476,0.008545
273,-6.816794,7.381679,3.648855,-0.244386,-0.960209,0.005615
274,-8.076336,7.755725,6.267176,-0.241456,-0.969486,0.012940
275,-9.007633,6.709924,9.106870,-0.246339,-0.981693,0.018799
276,-9.419848,5.251908,10.312977,-0.250977,-0.987308,0.016113
277,-8.641221,4.740458,0.015267,-0.309083,-1.001224,0.006592
278,-8.656489,5.465648,-3.282443,-0.305909,-0.989750,0.002930
279,-8.305343,5.503816,-6.015267,-0.290284,-0.968509,0.014160
280,-8.129771,5.145038,-7.106870,-0.281983,-0.969486,0.008301
281,-7.374045,4.687023,-7.862595,-0.285401,-0.978031,0.006836
282,-6.954198,4.755725,-9.152672,-0.279542,-0.981693,0.005859
283,-6.755725,4.916030,-13.656488,-0.263673,-0.966068,0.000244
284,-7.435114,4.702290,-13.687023,-0.254640,-0.958988,-0.012451
285,-7.114504,4.694656,-12.656488,-0.251710,-0.954105,-0.015137
286,-7.656488,4.488550,-11.824428,-0.253419,-0.953373,-0.015625
287,-7.824427,4.687023,-11.358779,-0.256349,-0.960697,-0.018066
288,-8.267176,4.687023,-7.343511,-0.231690,-0.949222,-0.003174
289,-8.404580,4.198473,-4.045801,-0.231690,-0.947513,-0.016846
290,-8.603053,3.961832,-0.687023,-0.231446,-0.946781,-0.017822
291,-8.931297,3.931298,1.717557,-0.235352,-0.962406,-0.020264
292,-9.091603,4.053435,3.175573,-0.240968,-0.970707,-0.015381
293,-9.251908,3.511450,3.755725,-0.238770,-0.973392,-0.015137
294,-12.122137,3.725191,17.977099,-0.227784,-0.919681,-0.018555
295,-13.267175,2.977099,26.488549,-0.232179,-0.924808,-0.021973
296,-14.984733,2.190840,34.519086,-0.234620,-0.931644,-0.023926
297,-16.282442,1.832061,39.343508,-0.253419,-0.953861,-0.026123
298,-16.732824,1.992366,40.282444,-0.247315,-0.976078,-0.039795
299,-15.435114,3.977099,22.358778,-0.258302,-0.979252,-0.035401
300,-14.465649,3.732824,17.335879,-0.258790,-0.965091,-0.039307
301,-13.618320,3.923664,14.129771,-0.265870,-0.960697,-0.042481
302,-12.549619,3.129771,12.671755,-0.280763,-0.952884,-0.052002
303,-12.167939,2.633588,11.969465,-0.283448,-0.947269,-0.064942
304,-9.312977,0.618321,2.442748,-0.290773,-0.964847,-0.031738
305,-7.984733,0.236641,-4.511450,-0.297853,-0.965824,-0.039551
306,-7.076336,0.076336,-10.748091,-0.288331,-0.966068,-0.041748
307,-6.801526,-0.389313,-15.007633,-0.275392,-0.964359,-0.049805
308,-6.977099,-0.442748,-16.053434,-0.270021,-0.948734,-0.050293
309,-7.396946,0.038168,-19.137404,-0.302003,-0.943851,-0.044190
310,-6.519084,1.099237,-21.206106,-0.295655,-0.953617,-0.056153
311,-6.259542,1.473282,-23.015266,-0.296388,-0.949711,-0.056885
312,-5.900763,2.038168,-23.351144,-0.295655,-0.940677,-0.053467
313,-5.862595,2.679389,-22.847327,-0.283692,-0.936283,-0.057617
314,-5.916030,4.206106,-8.923664,-0.257569,-0.931156,-0.038574
315,-6.175572,3.946565,-3.396947,-0.258790,-0.928714,-0.052490
316,-6.763358,3.687023,0.969466,-0.250489,-0.945072,-0.032959
317,-7.320610,4.106870,4.198473,-0.249024,-0.948978,-0.028565
318,-6.801526,4.038168,6.534351,-0.256837,-0.958988,-0.030029
319,-6.435114,3.297710,6.343512,-0.274415,-0.980961,-0.026367
320,-6.526717,3.236641,8.183206,-0.265870,-0.986820,-0.009033
321,-7.282442,3.091603,10.190839,-0.266603,-0.988285,-0.020020
322,-8.427481,3.053435,12.274809,-0.277833,-0.988529,-0.013672
323,-8.793892,2.763359,12.641221,-0.284425,-0.983402,-0.028076
324,-9.038168,3.183206,11.083969,-0.289064,-0.993412,-0.029541
325,-8.778625,3.167939,7.748091,-0.278810,-0.991947,-0.034180
326,-8.870228,3.503817,-3.633588,-0.261231,-0.964359,-0.047852
327,-9.198473,3.854962,-5.847328,-0.266114,-0.947025,-0.044434
328,-9.213740,3.763359,-6.427481,-0.271241,-0.941898,-0.045899
329,-9.412213,4.312977,-6.893130,-0.272950,-0.940433,-0.048584
330,-9.625955,4.572519,-6.862595,-0.279542,-0.946537,-0.047363
331,-9.816793,4.366412,-7.442748,-0.276368,-0.944828,-0.043945
332,-9.664123,5.793893,-10.083969,-0.266358,-0.914798,-0.039795
