DATA;DATE_TIME;TEMPERATURE;GAS_PRESENCE;POS(XYZ);VELOCITY(XYZ)
DATA;02/06/2023 23:18:35;28.84;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.00793644265255736, -0.0009346339656615307, 0.0003732792157299584]
DATA;02/06/2023 23:18:36;28.81;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007934975435112842, -0.0009454512730694989, 0.0003772091388113175]
DATA;02/06/2023 23:18:37;28.83;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007929226839262416, -0.0009749752798897312, 0.0004204580063696047]
DATA;02/06/2023 23:18:38;28.83;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007928552008953964, -0.0009789444869165208, 0.00042394661555856806]
DATA;02/06/2023 23:18:39;28.81;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.00792145333486244, -0.0010225967421321298, 0.00045262895021559187]
DATA;02/06/2023 23:18:40;28.83;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007929250968825175, -0.000995984364635001, 0.00036741559409409906]
DATA;02/06/2023 23:18:41;28.81;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007773287851065666, -0.001826316315095502, 0.0004904739561758784]
DATA;02/06/2023 23:18:42;28.83;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007753737004867249, -0.0019013441597189272, 0.0005142497891596851]
DATA;02/06/2023 23:18:43;28.81;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007741130233377367, -0.0019486159645602707, 0.0005270659660304139]
DATA;02/06/2023 23:18:44;28.81;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007731508911327069, -0.001985837854478633, 0.0005293561842327688]
DATA;02/06/2023 23:18:45;28.81;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.0077208724922089265, -0.002025628743152192, 0.0005338128454455705]
DATA;02/06/2023 23:18:46;28.8;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007710673556300891, -0.0020623237014672164, 0.0005406794415587101]
DATA;02/06/2023 23:18:47;28.8;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007697151995162128, -0.002110389787772275, 0.0005478194109682032]
DATA;02/06/2023 23:18:48;28.78;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007682580416460545, -0.002158730032313197, 0.0005637754803122752]
DATA;02/06/2023 23:18:49;28.78;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007670563699534052, -0.0021966475896052456, 0.0005806822698062287]
DATA;02/06/2023 23:18:50;28.8;False;[0.39922257078248335,-0.021075365862105896,0.0060842525998912045];[0.007659770220590844, -0.002230448405127858, 0.0005941549291285362]
DATA;02/06/2023 23:18:51;28.78;False;[0.41452438162358374,-0.02559095159332685,0.007294238179433925];[0.0076505665385518135, -0.0022588565675316064, 0.0006053087199984821]
DATA;02/06/2023 23:18:52;28.78;False;[0.46041934208596985,-0.03916945763537988,0.010937945053701164];[0.007648226475187816, -0.0022661327638846505, 0.0006076792580631698]
DATA;02/06/2023 23:18:53;28.77;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007637522358611654, -0.0022990827582554, 0.0006184421495946318]
DATA;02/06/2023 23:18:54;28.78;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007619563371017856, -0.0023555369032845046, 0.0006274551237363932]
DATA;02/06/2023 23:18:55;28.75;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007602694537043113, -0.002402672623452329, 0.0006528399811000612]
DATA;02/06/2023 23:18:56;28.77;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007593981794554474, -0.002426563092184587, 0.0006657567600994175]
DATA;02/06/2023 23:18:57;28.73;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007586271173563558, -0.002447685039169921, 0.0006762600314803354]
DATA;02/06/2023 23:18:58;28.75;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007579715453354904, -0.0024652375921438725, 0.0006859426072560899]
DATA;02/06/2023 23:18:59;28.75;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007572682213140461, -0.0024848949750023836, 0.0006926623001072436]
DATA;02/06/2023 23:19:00;28.75;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007566230431947994, -0.0025028280468691647, 0.0006985762796324286]
DATA;02/06/2023 23:19:01;28.73;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007557465957797227, -0.0025268295038774645, 0.0007069943104909219]
DATA;02/06/2023 23:19:02;28.73;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007544071751242307, -0.0025653291790353697, 0.0007113842950851426]
DATA;02/06/2023 23:19:03;28.73;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.00753143288301054, -0.0025998254193970406, 0.00072001841459831]
DATA;02/06/2023 23:19:04;28.72;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007518517201280353, -0.002634037655753782, 0.0007305783476936221]
DATA;02/06/2023 23:19:05;28.72;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007502521760561794, -0.00267543633091633, 0.0007444512552920019]
DATA;02/06/2023 23:19:06;28.72;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007471366526611796, -0.0027553570731043055, 0.0007659566728705417]
DATA;02/06/2023 23:19:07;28.72;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007392921429171559, -0.00294672548021767, 0.0008133398344652817]
DATA;02/06/2023 23:19:08;28.7;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007362963205902248, -0.0030089901219437078, 0.0008560089220159055]
DATA;02/06/2023 23:19:09;28.7;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.0073436400419230035, -0.0030476531873417398, 0.0008847378054239844]
DATA;02/06/2023 23:19:10;28.7;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007331301741490203, -0.003072190738309994, 0.0009020304000757713]
DATA;02/06/2023 23:19:11;28.72;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007316418219771098, -0.003101883789328654, 0.0009210544994176014]
DATA;02/06/2023 23:19:12;28.72;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.00726413948505131, -0.0032164687230132145, 0.0009415978417519152]
DATA;02/06/2023 23:19:13;28.7;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007204956175125025, -0.003309725081984378, 0.0010650476027891094]
DATA;02/06/2023 23:19:14;28.7;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007112053071116503, -0.003446721036788705, 0.0012404899065192319]
DATA;02/06/2023 23:19:15;28.69;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.007031114941486475, -0.0035811833474458416, 0.001318540295773345]
DATA;02/06/2023 23:19:16;28.69;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.006961260063189835, -0.0037095364398781233, 0.0013342405082482063]
DATA;02/06/2023 23:19:17;28.69;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.006906771352919455, -0.003796804612783548, 0.0013714168625303246]
DATA;02/06/2023 23:19:18;28.69;False;[0.47571474718370477,-0.04370529030925041,0.012153183036973778];[0.006872713423261474, -0.0038451992832514515, 0.0014072145088079517]
DATA;02/06/2023 23:19:19;28.69;False;[0.5100377680055342,-0.06298905341947,0.01922892157888849];[0.006862004664931687, -0.0038597782051093482, 0.0014195084310472167]
DATA;02/06/2023 23:19:20;28.69;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006859829427337532, -0.0038562335698105205, 0.0014395148081544514]
DATA;02/06/2023 23:19:21;28.69;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006774286912204897, -0.0039884749123862305, 0.001483612046456421]
